"filename", "language", "XML", "Markdown", "JavaScript", "JSON with Comments", "Django Template", "JSON", "CSS", "Vue.js", "comment", "blank", "total"
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\ResultReview\ResultReview.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 143, 8, 7, 158
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\RoleManage\RoleManage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 266, 19, 15, 300
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\RoleManage\roleDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 157, 3, 4, 164
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\index.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 56, 0, 5, 61
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\login.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 161, 3, 2, 166
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\updatePassword\index.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 172, 0, 5, 177
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\wrong\NoAuthority.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 40, 0, 2, 42
"d:\Project-FrontEnd\FrontEnd\efms-front\theme\index.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Project-FrontEnd\FrontEnd\efms-front\vue.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"Total", "-", 9, 15, 921, 11, 13, 27370, 17, 4478, 273, 333, 33440
